Player,Nicknames,Exclude_Seasons,Associations
Florian Wirtz,"Florian Wirtz, Wirtz"
Joshua Kimmich,"Joshua Kimmich, Kimmich"
Jamal Musiala,"Jamal Musiala, Musiala, Jamal"
Michael Olise,"Michael Olise, Olise"
Alphonso Davies,"Alphonso Davies, Davies"
Min-Jae Kim,"Min-Jae Kim, Kim Min-Jae, Kim Min Jae"
Dani Olmo,"Dani Olmo, Olmo"
Jude Bellingham,"Jude Bellingham, Bellingham, Jude"
Robert Lewandowski,"Robert Lewandowski, Lewandowski, Lewa"
Lamine Yamal,"Lamine Yamal, Lamine, Yamal"
Kylian Mbappé,"Kylian Mbappé, Mbappe, Kylian, Kylian Mbappe, Mbappé"
Vinícius Júnior,"Vinícius Júnior, Vinicius, Vini, Vinicius Jr, Vinicius Junior"
Dani Carvajal,"Dani Carvajal, Carvajal"
Rodrygo,"Rodrygo, Rodrygo Goes"
Endrick,"Endrick"
Éder Militão,"Éder Militão, Eder Militao, Militao"
David Alaba,"David Alaba, Alaba"
Federico Valverde,"Federico Valverde, Valverde, Federico, Fede, Fede Valverde, El Pajarito"
Dani Ceballos,"Dani Ceballos, Ceballos"
Aurélien Tchouaméni,"Aurélien Tchouaméni, Tchouaméni, Tchouameni, Aurélien, Aurelien, Aurelien Tchouameni"
Arda Güler,"Arda Güler, Arda Guler, Guler"
Luka Modrić,"Luka Modrić, Luka Modric, Modric",,(Tottenham)
Lucas Vázquez,"Lucas Vázquez, Lucas Vazquez, Vazquez"
Toni Kroos,"Toni Kroos, Kroos, Toni"
Eduardo Camavinga,"Eduardo Camavinga, Camavinga"
Dani Olmo,"Dani Olmo, Olmo"
Nico Williams,"Nico Williams"
Pedri,"Pedri"
Gavi,"Gavi"
Raphinha,"Raphinha"
Jules Koundé,"Jules Koundé, Jules Kounde, Kounde, Jules"
Frenkie de Jong,"Frenkie de Jong, de Jong, Frenkie"
Alejandro Balde,"Alejandro Balde, Balde"
Marc-Andre ter Stegen,"Marc-Andre ter Stegen, ter Stegen, Marc-Andre"
Ferran Torres,"Ferran Torres, Ferran"
Antoine Griezmann,"Griezmann, Antoine Griezmann, Antoine"
Lionel Messi,"Lionel Messi, Lionel, Messi, Leo, Leo Messi"
Achraf Hakimi,"Achraf Hakimi, Hakimi, Achraf"
Karim Benzema,"Karim Benzema, Benzema, Karim, Benz"
Neymar,"Neymar, Ney, Neymar Júnior, Neymar Junior, Neymar Jr"
Cristiano Ronaldo,"Cristiano, Ronaldo, Cristiano Ronaldo, CR7","(2021/22)",(Manchester Utd)
Harry Kane,"Harry, Kane, Harry Kane, Harold","(2021/22, 2022/23)",(Tottenham)
Eric Dier,"Eric, Dier, Eric Dier","(2021/22, 2022/23)",(Tottenham)
Olivier Giroud,"Olivier Giroud, Olivier, Giroud",,"(Arsenal, Chelsea)"
Ángel Di María,"Ángel Di María, Di Maria, Angel Di Maria, El Fideo, Di María",,(Manchester Utd)
Khvicha Kvaratskhelia,"Khvicha Kvaratskhelia, Khvicha, Kvaratskhelia, Kvaradona"
Theo Hernández,"Theo Hernández, Theo, Theo Hernandez, Hernandez, Hernández"
Rodrigo De Paul,"Rodrigo De Paul, De Paul"
Sofyan Amrabat,"Sofyan Amrabat, Amrabat, Sofyan"
Victor Osimhen,"Victor Osimhen, Victor, Osimhen"
Marquinhos,"Marquinhos"
Dušan Vlahović,"Dušan Vlahović, Dusan, Dusan Vlahović, Vlahović, Vlahovic"
Marcelo Brozović,"Marcelo Brozović, Brozović, Brozo, Brozovic"
Ousmane Dembélé,"Ousmane Dembélé, Ousmane, Dembele, Dembélé"
Nicolò Barella,"Nicolò Barella, Nico Barella, Barella, Nicolò, Nicolo"
Mike Maignan,"Mike Maignan, Maignan"
Dayot Upamecano,"Dayot Upamecano, Dayot, Upamecano, Upa"
Ciro Immobile,"Ciro Immobile, Immobile, Ciro"
Manuel Neuer,"Manuel Neuer, Neuer"
Serge Gnabry,"Serge Gnabry, Serge, Gnabry",,(Arsenal)
Leroy Sané,"Leroy Sané, Leroy, Sane, Sané",,(Manchester City)
Nicolás Otamendi,"Nicolás Otamendi, Otamendi, Nico Otamendi, Nico, Nicolás, Ota"
Romelu Lukaku,"Romelu, Lukaku, Romelu Lukaku, Rom","(2021/22)","(Manchester Utd, Chelsea)"
Luis Suárez,"Luis Suárez, Luis Suarez, Suarez, Luis",,(Liverpool)
Thomas Müller,"Thomas Müller, Muller, Müller"
İlkay Gündoğan,"İlkay, Gündoğan, İlkay Gündoğan, Ilkay, Ilkay Gundogan, Gundogan","(2021/22, 2022/23, 2024/25)",(Manchester City)
Memphis Depay,"Memphis Depay, Depay, Memphis"
Leon Goretzka,"Leon Goretzka, Goretzka, Leon"
Kingsley Coman,"Kingsley Coman, Coman, Kingsley"
Marcel Sabitzer,"Marcel Sabitzer, Sabitzer, Marcel, Sabi","(2022/23)",(Manchester Utd)
Gareth Bale,"Gareth, Gareth Bale, Bale",,(Tottenham)
Sergio Agüero,"Sergio Agüero, Sergio Aguero, Aguero",,(Manchester City)
David Silva,"David Silva, Silva, El Mago, Mago, Merlin",,(Manchester City)
Yaya Touré,"Yaya Touré, Touré, Yaya Toure, Toure, Uncle Yaya, Yaya, Toure Yaya",,(Manchester City)
Mesut Özil,"Mesut Özil, Mesut Ozil, Mesut, Ozil",,(Arsenal)
Philippe Coutinho,"Philippe Coutinho, Philippe, Coutinho, Little Magician",,(Liverpool)
Christian Eriksen,"Christian, Eriksen, Christian Eriksen","(2022/23, 2023/24, 2024/25)",(Tottenham)
Alex Ferguson,"Sir Alex Ferguson, Fergie, Ferguson, Alex Ferguson, Sir Alex",,(Manchester Utd)
Eden Hazard,"Hazard, Eden Hazard, Eden",,(Chelsea)
Wayne Rooney,"Wayne Rooney, Wayne, Rooney",,(Manchester Utd)
Paul Scholes,"Paul Scholes, Scholes",,(Manchester Utd)
Rio Ferdinand,"Rio, Rio Ferdinand, Ferdinand",,(Manchester Utd)
Roy Keane,"Roy Keane, Keane",,(Manchester Utd)
David Beckham,"Beckham, David Beckham",,(Manchester Utd)
Eric Cantona,"Eric Cantona, Cantona",,(Manchester Utd)
Ruud van Nistelrooy,"Ruud van Nistelrooy, Ruud, van Nistelrooy",,(Manchester Utd)
Edwin van der Sar,"Edwin van der Sar, van der Sar",,(Manchester Utd)
Ryan Giggs,"Ryan Giggs, Giggs, Welsh Wizard",,(Manchester Utd)
Michael Carrick,"Michael Carrick, Carrick",,"(Tottenham, Manchester Utd)"
Teddy Sheringham,"Teddy Sheringham, Teddy, Sheringham",,"(Tottenham, Manchester Utd)"
Paul Gascoigne,"Paul Gascoigne, Gascoigne, Gazza",,(Tottenham)
Ledley King,"Ledley King, King, Ledley",,(Tottenham)
Jermain Defoe,"Jermain Defoe, Jermain, Defoe",,(Tottenham)
Dimitar Berbatov,"Dimitar Berbatov, Dimitar, Berbatov",,"(Tottenham, Manchester Utd)"
Danny Rose,"Danny Rose, Rose, Danny",,(Tottenham)
Bill Nicholson,"Bill Nicholson, Nicholson",,(Tottenham)
Mousa Dembélé,"Mousa Dembélé, Dembele, Mousa Dembele",,(Tottenham)
Érik Lamela,"Érik Lamela, Lamela, Erik Lamela",,(Tottenham)
Glenn Hoddle,"Glenn Hoddle, Hoddle, Glenn",,(Tottenham)
Jimmy Greaves,"Jimmy Greaves, Greaves, Jimmy",,"(Chelsea, Tottenham)"
Steven Gerrard,"Steven Gerrard, Gerrard, Stevie G",,(Liverpool)
John Terry,"John Terry, Terry",,(Chelsea)
Alan Shearer,"Alan Shearer, Shearer, Alan"
Didier Drogba,"Didier Drogba, Didier, Drogba",,(Chelsea)
Cesc Fàbregas,"Cesc Fàbregas, Cesc, Fàbregas, Fabregas",,"(Arsenal, Chelsea)"
Frank Lampard,"Frank Lampard, Lampard, Frank, Lamps","(2022/23)","(Chelsea)"
Gianfranco Zola,"Gianfranco Zola, Gianfranco, Zola",,(Chelsea)
Sergio Agüero,"Sergio Agüero, Sergio Aguero, Aguero",,(Manchester City)
Vincent Kompany,"Vincent Kompany, Kompany, Vincent",,(Manchester City)
David Silva,"David Silva, Silva, El Mago, Mago, Merlin",,(Manchester City)
Yaya Touré,"Yaya Touré, Touré, Yaya Toure, Toure, Uncle Yaya, Yaya, Toure Yaya",,(Manchester City)
Sol Campbell,"Sol, Sol Campbell, Campbell",,"(Tottenham, Arsenal)"
Ian Wright,"Ian Wright, Wright, Wrighty",,(Arsenal)
Dennis Bergkamp,"Dennis Bergkamp, Bergkamp, Dennis",,(Arsenal)
Arsène Wenger,"Arsène Wenger, Arsene, Wenger, Arsene Wenger",,(Arsenal)
Thierry Henry,"Thierry Henry, Thierry, Henry",,(Arsenal)
Petr Čech,"Petr Čech, Cech, Čech, Petr, Pete Cech, Big Pete",,"(Chelsea, Arsenal)"
Michael Owen,"Michael Owen, Owen",,"(Liverpool, Manchester Utd)"
Fernando Torres,"Fernando Torres, Torres, El Niño, El Nino, Fernando",,(Liverpool)
Kenny Dalglish,"Kenny Dalglish, Kenny, Dalglish, King Kenny",,(Liverpool)
Ian Rush,"Ian Rush, Rush, Ian",,(Liverpool)
Jamie Carragher,"Jamie Carragher, Jamie, Carragher",,(Liverpool)
Graeme Souness,"Graeme Souness, Souness, Graeme",,(Liverpool)
Luis Suárez,"Luis Suárez, Suárez, Suarez",,(Liverpool)
Joel Matip,"Joel Matip, Matip",,(Liverpool)
Daniel Sturridge,"Daniel Sturridge, Danny Sturridge, Sturridge",,"(Manchester City, Chelsea, Liverpool)"
Pepe Reina,"Pepe Reina, Reina",,(Liverpool)
Georginio Wijnaldum,"Georginio Wijnaldum, Wijnaldum, Gini Wijnaldum, Gini, Georginio",,(Liverpool)
Philippe Coutinho,"Philippe Coutinho, Philippe, Coutinho, Little Magician",,(Liverpool)
Xabi Alonso,"Xabi Alonso, Xabi, Alonso",,(Liverpool)
Jan Vertonghen,"Jan Vertonghen, Vertonghen, Jan, Super Jan, SuperJan",,(Tottenham)
Harry Winks,"Winks, Harry Winks, Winksy","(2021/22)",(Tottenham)
Pierre-Emerick Aubameyang,"Pierre, Aubameyang, Pierre-Emerick Aubameyang, Auba, PEA","(2022/23)",(Arsenal)
Willian,"Willian, Willian Borges",,"(Chelsea, Arsenal)"
Jamie Vardy,"Jamie Vardy, Vardy, Jamie"
Danny Ings,"Danny Ings, Danny, Daniel Ings, Ings",,(Liverpool)
Tammy Abraham,"Tammy Abraham, Tammy, Abraham",,(Chelsea)
Adama Traoré,"Adama Traoré, Adama, Traoré, Traore"
Emiliano Martínez,"Emiliano Martínez, Emi Martinez, Martinez, Dibu, Dibu Martinez, Emiliano",,(Arsenal)
David Luiz,"David Luiz, Luiz",,"(Chelsea, Arsenal)"
Héctor Bellerín,"Héctor Bellerín, Bellerín, Hector",,(Arsenal)
Granit Xhaka,"Granit, Xhaka, Granit Xhaka","(2021/22, 2022/23)",(Arsenal)
Shkodran Mustafi,"Shkodran Mustafi, Shkodran, Mustafi",,(Arsenal)
Danny Welbeck,"Danny Welbeck, Welbeck",,"(Manchester Utd, Arsenal)"
Theo Walcott,"Theo Walcott, Walcott",,(Arsenal)
Wojciech Szczęsny,"Wojciech Szczęsny, Wojciech, Szczęsny, Chesney, Wojtek, Tek, Woj",,(Arsenal)
Alexis Sánchez,"Alexis Sánchez, Alexis, Sanchez, El Niño Maravilla, Niño Maravilla",,"(Arsenal, Manchester Utd)"
Dele Alli,"Dele Alli, Alli, Dele, Bamidele Alli, Bamidele",,(Tottenham)
Kyle Walker-Peters,"Kyle Walker-Peters, Walker-Peters, Walker Peters, KWP",,(Tottenham)
Juan Foyth,"Juan Foyth, Juan, Foyth",,(Tottenham)
Kieran Trippier,"Kieran Trippier, Kieran, Trippier, Tripps",,(Tottenham)
Toby Alderweireld,"Toby Alderweireld, Toby, Alderweireld, Tobs",,(Tottenham)
Lucas Moura,"Lucas, Moura, Lucas Moura","(2021/22, 2022/23)",(Tottenham)
Serge Aurier,"Serge Aurier, Serge, Aurier",,(Tottenham)
Pablo Zabaleta,"Pablo Zabaleta, Zabaleta, Pablo, Zaba",,(Manchester City)
Edin Džeko,"Edin, Dzeko, Edin Džeko, Džeko, Bosnian Diamond, Diamond",,(Manchester City)